Đây là ChatBot là cố vấn cho Viện quốc tế của đại học Hutech, tên là HuBot.
Xin chào	Chào bạn, tôi là cố vấn cho Viện quốc tế của đại học Hutech. Tôi có thể giúp gì được cho bạn?
Tổng số tín chỉ khi học ngành Marketing?	Có tất cả 155 tín chỉ cần phải hoàn thành.
Các môn chuyên ngành tiêu biểu của ngành Marketing?	Các môn chuyền ngành tiêu biểu: Marketing căn bản, Quản trị marketing, Quản trị bán hàng, Hành vi người tiêu dùng, Chiến lược sản phẩm, Chiến lược giá và phân phối, Quảng cáo và khuyến mãi, Marketing quốc tế, Marketing dịch vụ, PR tổ chức sự kiện.
Các tố chất mà sinh viên cần có khi học ngành Marketing?	Những tố chất phù hợp với ngành:Tự tin, kiên trì, thích mạo hiểm. Năng động, linh hoạt, có khả năng quan sát và nhạy bén trong việc nắm bắt tâm lý người khác. Ham học hỏi, am hiểu sâu rộng về các lĩnh vực khác nhau của văn hóa, xã hội, kinh tế. Đam mê lĩnh vực kinh tế và hoạt động Marketing. 
Sau khi tốt nghiệp ngành Marketing, sinh viên có thể đảm nhận các công việc gì?	 Các công việc tiêu biểu mà sinh viên có thể đảm nhận là: Chuyên viên nghiên cứu thị trường, chăm sóc khách hàng, quảng cáo, quan hệ công chúng, phát triển sản phẩm, phát triển và quản trị thương hiệu tại các doanh nghiệp thuộc mọi thành phần kinh tế. Cán bộ nghiên cứu hoạch định chiến lược marketing, quản lý tổ chức kế hoạch marketing, tổ chức thực hiện các hoạt động quan hệ khách hàng tại các công ty chuyên về truyền thông, tổ chức sự kiện, quảng cáo,…Giảng dạy, nghiên cứu về quản trị kinh doanh, marketing tại các trường đại học, cao đẳng, trung cấp chuyên nghiệp.
Ngành Logistics & Quản lý chuỗi cung ứng là gì?	 Logistics và Quản lý chuỗi cung ứng là ngành nghiên cứu, phát triển và quản trị các dịch vụ vận chuyển trong quá trình sản xuất kinh doanh. Logistics liên quan tới chuỗi các hoạt động bao gồm lên kế hoạch, áp dụng và kiểm soát các luồng chuyển dịch của hàng h óa, kiểm soát nguồn nguyên nhiên liệu vật tư (đầu vào) và sản phẩm cuối cùng (đầu ra) từ điểm xuất phát tới điểm tiêu thụ.
Ngành  Logistics & Quản lý chuỗi cung ứng đào tạo các kiến thức tổng quan gì?	Ngành Logistics & Quản lý chuỗi cung ứng trang bị cho sinh viên kiến thức cơ bản và chuyên sâu về chuỗi cung ứng, hệ thống phân phối, giao nhận vận tải, quản trị chiến lược, xây dựng – quản lý hệ thống các kho bãi và các điểm kết nối kho bãi, các phương thức vận tải như đường bộ, đường sắt, đường biển, kiến thức bổ trợ về marketing quốc tế, tài chính – kế toán trong vận tải đa phương thức. Trang bị thêm cho sinh viên các kỹ năng chuyên môn quan trọng như kỹ năng tính toán, kỹ năng phân tích thị trường và xây dựng chiến lược, tin học ứng dụng cùng các kỹ năng mềm như kỹ năng giao tiếp, kỹ năng quản lý thời gian.
Mã ngành của ngành Logistics & Quản lý chuỗi cung ứng là?	Mã ngành của ngành  Logistics & Quản lý chuỗi cung ứng là 7510605.
Khi tốt nghiệp ngành Logistics & Quản lý chuỗi cung ứng, sinh viên sẽ nhận được bằng gì?	Sau khi tốt nghiệp, sinh viên sẽ được cấp bằng Cử nhân do trường Đại Học Công Nghệ Thành Phố Hồ Chí Minh - Hutech cấp theo quy định của Bộ Giáo Dục & Đào Tạo.
Các môn đại cương, sinh viên phải học trong ngành Logistics & Quản lý chuỗi cung ứng là?	Các môn đại cương sinh viên phải học:Tiếng Anh, Tư duy thiết kế dự án, Quốc phòng an ninh, Giáo dục thể chất,Nhập môn Công nghệ thông tin, Đại số tuyến tính và giải tích, Quản trị học, Triết học Mác - Lênin, Kinh tế chính trị Mác - Lênin, Chủ nghĩa xã hội khoa học, Lịch sử Đảng Cộng sản Việt Nam,  Tư tưởng Hồ Chí Minh, Pháp luật đại cương.
Tổng số tín chỉ khi học ngành Logistics & Quản lý chuỗi cung ứng ?	Có tất cả 155 tín chỉ cần phải hoàn thành.
Các môn chuyên ngành tiêu biểu của ngành Logistics & Quản lý chuỗi cung ứng?	Các môn chuyền ngành tiêu biểu:Nguyên lý logistics và quản lí chuỗi cung ứng,Hệ thống thông tin trong chuỗi cung ứng, Quản lí phân phối, Quản lí bán lẻ, Quản lí tồn kho, Hệ thống vận tải và hậu cần quốc tế, Quản lí rũi ro và an toàn trong chuỗi cung ứng.
Các tố chất mà sinh viên cần có khi học ngành Logistics & Quản lý chuỗi cung ứng?	Những tố chất phù hợp với ngành:Tư duy logic và tư duy hệ thống tốt. Tinh thần trách nhiệm cao,yêu thích lĩnh vực kinh doanh, xuất nhập khẩu.Năng động,quyết đoán,xử lí tình huống nhanh nhạy.Có khả năng ngoại ngữ.
Sau khi tốt nghiệp ngành Logistics & Quản lý chuỗi cung ứng, sinh viên có thể đảm nhận các công việc gì?	 Các công việc tiêu biểu mà sinh viên có thể đảm nhận là:Chuyên viên quản trị kinh doanh, dịch vụ vận tải, kinh doanh xuất nhập khẩu, chăm sóc khách hàng trong các công ty dịch vụ logtistics.Chuyên viên điều phối dịch vụ logistics, điều phối đơn hàng, phương tiện vận chuyển,… Quản lý kho bãi, quản lý vận chuyển, giám sát đối tác cung cấp dịch vụ logistics trong các công ty sản xuất, kinh doanh.Nghiên cứu và giảng dạy các bộ môn về logistics tại các Viện nghiên cứu, trường Đại học, Cao đẳng,...
Ngành Kinh doanh quốc tế là gì?
ChatBot:Kinh doanh quốc tế thuộc nhóm ngành kinh doanh, ngành này cung cấp những kiến thức chung về quản trị kinh doanh và kiến thức chuyên môn thuộc lĩnh vực kinh doanh quốc tế như đầu tư quốc tế, logistic và vận tải quốc tế, thanh toán quốc tế, marketing quốc tế, hoạch định chiến lược kinh doanh quốc tế...
Ngành Kinh doanh quốc tế đào tạo các kiến thức tổng quan gì?	Ngành Kinh doanh quốc tế Cung cấp kiến thức nền tảng về quản trị kinh doanh, các vấn đề tổng quan và chuyên sâu về thương mai quốc tế, các chính sách kinh tế đối ngoại chủ yếu hiện nay, đặc điểm phát triển kinh tế thế giới trong xu hướng toàn cầu hóa, những vấn đề về hội nhập kinh tế, đầu tư quốc tế tại Việt Nam, …Chương trình đào tạo còn cung cấp cho sinh viên các kiến thức nghiệp vụ, kỹ năng cụ thể về các vấn đề thanh toán quốc tế, bảo hiểm ngoại thương, tranh chấp trong thương mại quốc tế, cách thức xâm nhập thị trường nước ngoài…Đồng thời, kỹ năng tư vấn, kỹ năng đàm phán, thương lượng, giải quyết tình huống kinh doanh, ...
Mã ngành của ngành Kinh doanh quốc tế là?	Mã ngành của ngành Kinh doanh quốc tế là 7340120.
Khi tốt nghiệp ngành Kinh doanh quốc tế, sinh viên sẽ nhận được bằng gì?	Sau khi tốt nghiệp, sinh viên sẽ được cấp bằng Cử nhân do trường Đại Học Công Nghệ Thành Phố Hồ Chí Minh - Hutech cấp theo quy định của Bộ Giáo Dục & Đào Tạo.
Các môn đại cương, sinh viên phải học trong ngành Kinh doanh quốc tế là?	Các môn đại cương sinh viên phải học:iếng Anh, Tư duy thiết kế dự án, Quốc phòng an ninh, Giáo dục thể chất,Nhập môn Công nghệ thông tin, Đại số tuyến tính và giải tích, Quản trị học, Triết học Mác - Lênin, Kinh tế chính trị Mác - Lênin, Chủ nghĩa xã hội khoa học, Lịch sử Đảng Cộng sản Việt Nam,  Tư tưởng Hồ Chí Minh, Pháp luật đại cương.
Tổng số tín chỉ khi học ngành Kinh doanh quốc tế ?	Có tất cả 155 tín chỉ cần phải hoàn thành.
Các môn chuyên ngành tiêu biểu của ngành Kinh doanh quốc tế?	Những tố chất phù hợp với ngành:Kinh doanh quốc tế, Kỹ thuật nghiệp vụ ngoại thương, Đầu tư quốc tế, Tài chính quốc tế, Marketing quốc tế, Kinh tế quốc tế, Rủi ro và Bảo hiểm trong kinh doanh quốc tế, Vận tải và bảo hiểm ngoại thương, Đàm phán trong kinh doanh quốc tế.
Các tố chất mà sinh viên cần có khi học ngành Kinh doanh quốc tế?	Những tố chất phù hợp với ngành:Nhanh nhẹn, hoạt bát, giao tiếp tốt, có khả năng thuyết phục người khác,. Năng động, tự tin, quyết đoán. Chịu áp lực tốt, thích môi trường cạnh tranh. Có năng khiếu về ngoại ngữ, đam mê lĩnh vực kinh doanh.
Sau khi tốt nghiệp ngành Kinh doanh quôcs tế, sinh viên có thể đảm nhận các công việc gì?	 Các công việc tiêu biểu mà sinh viên có thể đảm nhận là: Chuyên viên kinh doanh, xuất nhập khẩu của các đơn vị sản xuất kinh doanh, các công ty thương mại, công ty xuất nhập khẩu, văn phòng đại diện, đại lý vận tải tàu biển, hàng không, bảo hiểm, ngân hàng…Nhân viên, trợ lý xuất nhập khẩu, thăng tiến trở thành nhà quản lý xuất nhập khẩu hay lãnh đạo tại các công ty nước ngoài hoạt động trong lĩnh vực kinh doanh quốc tế.Giảng dạy và nghiên cứu tại các trường đại học, cao đẳng có đào tạo về quản trị kinh doanh và kinh doanh quốc tế.
Ngành Công Nghệ Thông Tin là ngành gì?	Ngành công nghệ thông tin là một trong những ngành học được chú trọng trong hệ thống đào tạo, được xem là ngành đào tạo mũi nhọn hướng đến sự phát triển của công nghệ và khoa học kỹ thuật trong thời đại số hóa ngày nay.
Ngành Công Nghệ Thông Tin gồm các ngành chuyên sâu gì?	Bao gồm: Lập trình di động, Kiểm thử phần mềm, Kỹ thuật truyền số liệu (CTT); Phân tích và thiết kế hệ thống thông tin, Mạng máy tính nâng cao, An ninh mạng, Khai phá dữ liệu, Hệ thống thông tin quản lý.
Mã ngành của ngành Công Nghệ Thông Tin ?	Mã ngành Cồng Nghệ Thông Tin là 7480201
Khi tốt nghiệp ngành Công Nghệ Thông Tin, sinh viên sẽ nhận được bằng gì?	 Khi tốt nghiệp, sinh viên sẽ được nhận bằng Cử nhân do Đại học Công Nghệ TP.HCM (Hutech) cấp theo quy định của Bộ Giáo Dục & Đào Tạo.
Các môn đại cương, sinh viên phải học trong ngành Công Nghệ Thông Tin là gì?	 Các môn đại cương: Tiếng Anh, Tư duy thiết kế dự án, Giáo dục thể chất, Triết học Mác Lê-Nin, Nhập môn công nghệ thông tin, Lịch sử đảng cộng sản Việt Nam, Đại số tuyến tính và giải tích, Tư tưởng Hồ Chí Minh, Kinh tế chính trị Mác Lê-Nin, Chủ nghĩa xã hội khoa học, Quản trị học, Pháp luật đại cương, Quốc phòng an ninh.
Các môn chuyên ngành tiêu biểu của ngành Công Nghệ Thông Tin ?	Công nghệ phần mềm, Hệ thống thông tin tín dụng, Mạng máy tính, Máy học và ứng dụng, An ninh mạng
